gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000101000,Guoxin Jingjiang power station,Jiangsu,32.030487,120.383144,0,,0,2019,1,2019Q1,0.3691025720192836,0.2199999839067459,13,0.5582299247635906
L100000101005,Jiangsu Nantong power station,Jiangsu,32.03214,120.76956,0,,0,2019,1,2019Q1,0.4242307681303758,0.5299999713897705,13,0.358939968652365
L100000101008,Jiangsu Sheyanggang power station,Jiangsu,33.8185009,120.4633498,0,,0,2019,1,2019Q1,0.0534097274842982,0.0375000024214386,24,0.3695343036452898
L100000101018,Ligang power station,Jiangsu,31.940813,120.0766476,0,,0,2019,1,2019Q1,0.3291025651762119,0.3099999725818634,13,0.5338329378376755
L100000101020,Lusigang power station,Jiangsu,32.05858,121.72669,0,,0,2019,1,2019Q1,0.0854687462560832,0.0723333358764648,16,0.2503866676102423
L100000101039,Xinhai power station,Jiangsu,34.57789,119.12671,0,,0,2019,1,2019Q1,-0.0160210606140586,0.0064285723492503,26,0.3242547457172196
L100000101044,Xuzhou Pengcheng power station,Jiangsu,34.3779,117.17591,0,,0,2019,1,2019Q1,0.1087395843351259,0.1228571236133574,16,0.2773481249148875
L100000101047,Guoxin Yangzhou power station,Jiangsu,32.267778,119.419444,0,,0,2019,1,2019Q1,0.229999994742684,0.1783333346247672,16,0.3543266834699955
L100000101053,Zhangjiagang Shazhou power station,Jiangsu,31.989733,120.6879258,0,,0,2019,1,2019Q1,0.3890476152300834,0.4191666692495345,14,0.3954034536264584
L100000101057,Fuzhou power station,Jiangxi,27.7844943,116.5644289,0,,0,2019,1,2019Q1,-0.4504999965429306,-0.3809999972581863,4,0.6220618795827907
L100000101058,Datang Xinyu power station,Jiangxi,27.679755,114.956506,0,,0,2019,1,2019Q1,0.1576388832181691,0.0616666693240404,12,0.2618923354850954
L100000101060,Fengcheng power station,Jiangxi,28.1943602,115.7088424,0,,0,2019,1,2019Q1,0.2320000052984271,0.1880000084638595,7,0.1579535893588054
L100000101063,Guixi power station,Jiangxi,28.28914,117.2235,0,,0,2019,1,2019Q1,0.0855952381555523,0.0266666617244482,7,0.246943688175869
L100000101068,Jinggangshan power station,Jiangxi,27.0474697,115.0203859,0,,0,2019,1,2019Q1,-0.1429999995976686,-0.0800000000745057,10,0.2279309159899619
L100000101069,Ruijin power station,Jiangxi,25.9244055,115.1028219,0,,0,2019,1,2019Q1,-0.0279047616890498,-0.0739999935030937,7,0.3527808141027149
L100000101074,Shenhua Jiujiang power station,Jiangxi,29.826619,116.375973,0,,0,2019,1,2019Q1,-0.026007327895898,-0.0700000002980232,13,0.2219699416109045
